Title;Firstname;Lastname;Function / Role;AMA Member;Possible Speaker;Description /Text;Journey Stations;Journey Stations;Inner Change;Inner Change;Inner Change;Inner Change;Inner Change;Inner Change;Inner Change;Sustainability;Sustainability;Sustainability;Sustainability;Sustainability;Sustainability;Sustainability;Perspectives;Perspectives
;;;;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;
;;;;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;
;;;;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;
;;;;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;
;;;;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;
;;;;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;
;;;;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;
;;;;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;
;;;;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;
;;;;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;
;;;;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;
;;;;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;
;;;;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;
;;;;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;
;;;;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;
;;;;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;
;;;;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;
;;;;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;
;;;;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;
;;;;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;
;;;;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;
